Business Name,Address,Phone,Website
Shower Tech Northeast,"· Hadrian Lodge, 48 Bishopdale",· 0191 447 0026,http://www.showertech.uk/
Showermania Ltd,"· Unit 5D, Humshaugh Cl, Whitley Rd",· 0191 266 9119,https://www.facebook.com/ShowermaniaBenton
JMA Bathrooms,· 14 Tanfield Rd,· 07753 384815,https://jmabathrooms.co.uk/
Inspira Bathrooms North Shields,· Hamar Cl,· 0191 257 4510,https://www.inspirabathrooms.co.uk/
Splashworks Designer Bathrooms,· 1 Killingworth Rd,· 0191 816 0841,https://splashworksbathrooms.co.uk/
Easiflow Showers,· 107 Birkdale,· 0191 252 2555,https://www.easiflowshowers.co.uk/
Makeover Bathrooms Gateshead.,· 14 Oaklands,· 07958 494850,http://makeoverbathrooms.com/
Darsley Bathrooms Ltd,· 37 Darsley Gdns,· 07507 366018,
Opulence Heating & Bathrooms,· 159 Tynemouth Rd,· 07947 683213,https://opulenceplumbingnortheast.co.uk/
H2O Bathroom Design Co.,"· Tyne Tunnel Trade Park, 10 Narvik Way",· 0191 213 3688,https://www.h2obdc.co.uk/showroom-gateshead
Priory Bathrooms,· 152 Imeary St,· 0191 490 6784,http://priorybathrooms.com/
Croftside Plumbing & bathrooms,· 52 O'Hanlon Cres,· 07967 221478,http://croftsideplumbingandheating.co.uk/
Diamond Bathrooms North East Limited,· 2 Westfield View,· 0191 268 8613,
The Bathroom Studio (NE) Limited,· 4D Airport Industrial Estate,· 0191 271 5800,https://www.thebathroomstudio.co.uk/
ACAS Bathrooms,· unit 1 Sunderland Rd,· 0191 438 4617,https://acasbathrooms.co.uk/
Arc Bathrooms & Kitchens,· 77 Great N Rd,· 0191 213 2777,http://www.arcbathrooms.co.uk/
Hedley Hughes Home Improvements Ltd,· 54 Rosewood Cl,· 07563 540312,http://www.hedleyhughes.com/
Simply Group NE Ltd,· Peregrine Wy,· 07379 743329,https://simplygroupne.co.uk/
Aspect bathrooms and heating ltd,· 44 Charlotte St,· 07789 934984,http://aspectheatingandbathrooms.co.uk/
Bathrooms & Kitchens Whitley Bay,· 53 Park View,· 0191 289 4730,http://www.bathroomsandkitchenswhitleybay.co.uk/
Kitchens Plus Bathrooms,· Unit 1 Tenth Avenue West,· 0191 491 4916,https://www.google.com/aclk?sa=L&ai=DChsSEwjd5c-G9cKSAxUjmVAGHehUBSYYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiAnJHMBhDAARIsABr7b86-A2KZzP5NRDGZec3eWrsijZ9lpgzpcvn721q43_TuOFX4mROWRt8aAnIIEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_2kOn0QHYHMbE9iFhNfFSOfJ4rzMw&adurl&q&ctype=99&nis=6
