Business Name,Address,Phone,Website
K.H. Landscaping & Sons,"· K.H landscaping and son's, Martin Rd",· 07479 307554,http://www.khlandscapingandsons.co.uk/
Geko Landscapes,· 44 Crossley Terrace,· 0191 289 1797,http://www.gekolandscapes.com/
Elder & Fern Landscape Garden Design,· South View,· 07450 039309,https://www.elderandfern.com/
Johns gutter cleaning services,· 42 Crossley Terrace,· 07434 870681,
A.R. Whitley Landscapes,"· 49 Maple Ave, Hillheads Rd",· 0191 256 7855,https://arwhitley.co.uk/
Bay Fencing & Landscaping,· Unit 12 St Cuthbert's Rd,· 07444 421732,https://www.bayfencing.co.uk/
M&C landscaping hebburn ltd,· 9a Station Rd,· 07930 738576,
N T Garden Services,· 40 Hermiston,· 07802 747841,
Hills Landscapes Ltd,· 46 Hillsden Rd,0191 251 0439,
Jesmond Gardens,· 32 Grosvenor Ave,0191 281 8494,http://jesmondgardens.co.uk/
Eden Landscapes Love Your Garden Ltd,· 12 Monkseaton Rd,07912 161651,https://en-gb.facebook.com/pages/category/Landscape-Company/Eden-Landscapes-Love-Your-Garden-Ltd-517747121703692/
R&T Landscapes Ltd,· Unit 1 Western Approach,· 0191 259 2222,http://randtlandscapes.co.uk/
Garden First,· 44 Kirton Way,· 01670 733080,http://www.garden-first.co.uk/
SD Landscapes,· Broxburn Cl,· 07387 151331,
Arcadia paving and landscaping limited,· 95 Seatonville Rd,· 07985 103261,http://www.arcadiapaving.com/
The FourClovers Garden Services,· 163 Cloverfield,· 0191 694 1468,https://thefourcloversgardenservices.squarespace.com/
D Leitch Landscaping,· 5 Praetorian Dr,,https://www.tyneandweargardener.co.uk/gardener-in-wallsend/
New Horizon Horticultural Services,· 14 Glendale Gardens,· 07740 311286,https://www.newhorizonhorticulturalservices.co.uk/
ReGreen Community Interest Company,· 14 Coniscliffe Ave,Closed · Opens 9 am Mon,https://www.regreennewcastle.co.uk/
Dawe Garden Services,Landscape Gardener,· 07854 121219,https://www.facebook.com/dawegardenservices/
New Horizon Horticultural Services,· 14 Glendale Gardens,· 07740 311286,https://www.google.com/aclk?sa=L&ai=DChsSEwjJkMr39baSAxWkh1AGHQBqFusYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiA7fbLBhDJARIsAOAqhsdzM3KdmOewoscm5Q6zsggr9a51GKZdLObRpS1Qp-TfMgJHN2diL-AaAg-nEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_3CYC6HCNAzJs0rLwS1dHEWazTe_Q&adurl&q&ctype=99&nis=6
New Horizon Horticultural Services,· 14 Glendale Gardens,· 07740 311286,https://www.google.com/aclk?sa=L&ai=DChsSEwjAifX59baSAxW-olAGHc-HIsEYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiA7fbLBhDJARIsAOAqhsein1peq4vQrU2BhmnTRX0KLj767CwUT6PqIBHQj20sXVQNGw_3YP4aAlB3EALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_244gcI2LYDXfAfcrxspFlIPBbiDA&adurl&q&ctype=99&nis=6
M.Levy Garden Services,· 50 Emily St,· 07896 998282,
Garden Restoration and Landscape Services,· 6 Caesar's Walk,Closed · Opens 8 am Mon,
Wonderlawn Ltd,"· Browns Park, Brunswick Industrial Estate 8",· 0333 700 6000,https://wonderlawn.com/
EnviroClear Ltd,"· Iris House, 335 Rothbury Terrace",· 0191 265 7334,https://www.enviroclearltd.co.uk/
A C Services North East,· 40 Glen St,0191 428 1200,http://ac-landscapes.co.uk/
Designer Patios & Landscapes Ltd,· Clavering Pl,· 07587 103828,http://designerpatiosandlandscapes.co.uk/
B & H Groundworks | Blyth,· 5 Rookery Cl,· 07840 376297,https://bandhgroundworks.co.uk/
Northumberland Garden Services,"· Valley Enterprise, Ridley St",· 07432 020343,http://www.northumberlandgardenservices.co.uk/
george higgins building contracts and landscaping,· 22 St John's St,· 07854 889500,http://ghbc17.wixsite.com/ghbcl
D.C Landscapes,· 1 West View,Open 24 hours,
Treescape Northeast,· 1 Percy Cres,· 07902 561087,https://www.treescapenortheast.co.uk/
