Business Name,Address,Phone,Website
Attic Conversions NE Limited,"· Attic Conversions NE Limited, 59 Walton Ave",· 0191 691 8787,https://atticconversionsne.co.uk/
The Luxury Loft Company,· 8 Waterford Park,· 0191 300 2159,https://theluxuryloftcompany.co.uk/
Outer Space Solutions Ltd,· 71-72 Hudson St,Closed · Opens 8 am Sun,http://www.outerspacesolutions.co.uk/
Loft Conversion Newcastle,"· Rotterdam House, 116 Quayside",· 028 4355 5010,
Beaver Loft Conversions,· 13 Crossway,· 07731 124024,http://www.beaverloftconversions.co.uk/
Newcastle Loft Conversions,· Nun St,· 0191 917 1984,https://newcastleloftconversions.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Joseph James Loft Conversions,· 5 Station Rd,· 0191 516 6869,http://www.josephjamesloftconversions.co.uk/
Jesmond Developments,· 88 Osborne Rd,· 07498 462711,https://jesmond.build/
Transform Loft Solutions,· 20 Kingston Mews,· 0800 772 0026,https://transformloftsolutions.co.uk/
Joseph James Loft Conversions,"· Churchill House, 12 Mosley St",· 0191 516 6869,http://www.josephjamesloftconversions.co.uk/
Loft Conversions Newcastle,· 7 Garden Cl,0191 236 2315,
Joseph James Loft Conversions,"· Business & Innovation Centre, Sunderland Enterprise Park, Wearfield",· 0191 516 6869,https://www.josephjamesloftconversions.co.uk/
Loft storage conversions,· 144 Donvale Rd,· 07969 921404,https://www.facebook.com/loftstorageconversions2021/
On Point Joinery & Building Limited,· 1 Austral Pl,· 07794 663328,http://www.facebook.com/onpointjoineryandbuilding
Build on ltd,· 59 Lanton St,· 07919 405487,
Beaver Loft Conversions,· Alma Pl,Closed · Opens 8 am Sun,http://www.beaverloftconversions.co.uk/
R G Loft Conversions,· 12 Westover Gardens,0191 487 7622,
Apex Construction newcastle (north east),Construction Company,07891 337502,http://www.apexnewcastle.co.uk/
Morespace Conversions (N.e) Ltd,· 73 Fawdon Ln,· 07843 114355,https://www.morespaceconversions.co.uk/
David Troy Builders,· 23 Coquet Ave,· 07743 130399,http://www.troyenterprises.co.uk/
Bowman Roofing Services Ltd,· Tundry Way,· 0191 625 0807,https://www.google.com/aclk?sa=L&ai=DChsSEwiYzqj3-LaSAxWymVAGHXu8BysYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiA7fbLBhDJARIsAOAqhsdzIb1xaQ3cuWvpyEQy5BQ_XqqlP8wKLjw27DEVBq42qmiSdZtohDQaAt3UEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_2r6WF5-c5fryMGtqjjoEWhj8oC1w&adurl&q&ctype=99&nis=6
Bowman Roofing Services Ltd,· Tundry Way,· 0191 625 0807,https://www.google.com/aclk?sa=L&ai=DChsSEwiu-cb6-LaSAxULmVAGHbEfFRIYACICCAEQABoCZGc&co=1&ase=2&gclid=Cj0KCQiA7fbLBhDJARIsAOAqhse94uWnKD3x7rfRxnCBUowjqJDb5FqWYfu-12x529HuP24dYTb0soYaAhM6EALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_05tke5ejOuLMpFX3CpzXiiaRNiWg&adurl&q&ctype=99&nis=6
Rooftop Lofts & General Builders Ltd Loft Conversion Gateshead,· Planesway,· 07714 581911,
APM Loft and Garage Conversions,· 19 Cheviot View,· 07803 047542,
TSC Lofts,Home builder,· 07561 618660,http://www.tsclofts.co.uk/
Heddon Structures Ltd,"· Gateway House, Greenfinch Way",· 0191 205 6151,http://www.heddonstructures.com/
Loft Storage North East,· 31 St Cuthberts Way,· 07752 586361,https://www.loftstoragenortheast.com/
APD Building & Joinery Professionals,· 1 Lysdon Farm Cottage,· 0191 237 3335,http://www.apdbuild.com/
GB Building North East Limited,· 5 Heyrose,· 07482 796053,http://www.gbbuildingne.co.uk/
Loft Genie North East,"· Unit X5, Armadillo Self Storage, Industry Rd",· 0800 029 1595,https://loftgenienortheast.co.uk/
CG Joinery and Building,· 35 Grange Ave,· 07947 662002,http://cgjoineryandbuilding.co.uk/
J T Cuthbert Ltd,· 833 Welbeck Rd,· 0191 262 4529,https://www.jtcuthbert.co.uk/
Lofty Solution,· 2 The Orchard,· 0191 301 7287,https://www.loftysolution.com/
