Business Name,Address,Phone,Website
Blue Leaf Energy Services,"· Industrial Estate, Unit 33 North Tyne",· 0330 222 0307,http://www.blueleafenergy.co.uk/
North East Solar Ltd,· Clavering Pl,· 0191 500 1154,https://northeastsolar.co.uk/
Minel Energy,"· Cathedral Buildings, Dean St",· 0191 233 0567,http://www.minel-energy.com/
SCJ Electrical and Renewables Limited,"· Ind Est, 58B S Nelson Rd",· 01670 590790,http://www.scjelectrical.co.uk/
Net-Zero Renewables,"· 40, Apex Business Village",· 0191 691 1027,http://net-zerorenewables.co.uk/
Sustainable Energy Engineering,"· Armstrong Industrial Estate, Unit 11 Whitworth Rd",· 0191 340 7001,https://www.susenergy.co.uk/
Solar Panel Installers Newcastle,· 12 Wellesley St,· 0118 338 5065,https://solarpanelinstallers.co.uk/newcastle
GEC Power,· Unit 22A Airport Ind Est,· 0191 429 0901,https://gecpower.co.uk/
AR Power Commercial Solar Panels,"· 18b, Parsons Trade Park, Parsons Rd",· 0191 481 3316,http://www.arpower.co.uk/?utm_source=GBP_listing&utm_medium=organic
Future Renewable Installations,· 7 Kingfisher Way,· 07768 627105,https://future-renewables.com/
Solar Shack,"· Unit 17 Green Lane Workspace, N Seaton Rd",· 07479 351951,http://www.solarshack.co.uk/
The Energy Experts,· Unit 382G Jedburgh Ct,· 0330 353 0364,http://www.the-energy-experts.co.uk/
0800Renewables,· 70 Chantry Dr,· 0800 112 3118,https://www.0800renewables.com/
ESE Solar County Durham,"· Unit D, Spey House, Belmont Industrial Estate",· 0191 466 1566,https://esesolar.co.uk/solar-panels-county-durham/
SPS Microgrids,"· AA Construction Utilities Ltd, Benton Square Industrial Estate, FAO:, Wesley Way",· 0330 107 9879,http://www.spsmicrogrids.co.uk/
SOLAR EV NORTH,"· Park West, Unit 8 B Village Nelson",· 01670 569269,http://www.solarevnorth.co.uk/
Northern Energy Solutions,· 6 Waterloo Square,0844 414 6030,http://www.northernenergysolutions.co.uk/
Renewable Energy Solutions,· Royal Quays Business Centre,· 0800 989 0143,https://resenergygroup.co.uk/
Solar Tuition,· 86 Mead Way,Open · Closes 7 pm,https://solartuition.com/
Renewable Energy Management (REM),· 9 Westholme Ter,· 0191 354 5052,https://www.re-management.co.uk/
SWH Electrical Solutions Ltd,"· Unit 2, Mandale Park, Wallsend Rd",· 0191 258 0000,https://swhelectricalsolutions.co.uk/
Armstrong Renewables Ltd,· 63 Alwin,· 07833 431631,https://www.armstrongrenewables.co.uk/
Fort Energy Ltd,· 40 Middle Gate,· 01670 898220,http://www.fortenergy.co.uk/
Amp Renewables,"· 8, Bede House, Tower Rd",· 07966 929781,http://www.amprenewables.co.uk/
HASmart,"· 1.32 One, TRINITY GREEN,",· 0191 519 7322,http://www.hasmart.co.uk/
Greenbase Solutions,· 25 Laburnum Grove,· 07717 059610,https://www.greenbasesolutions.co.uk/
EcoFuture Solar & Heat Pumps,"· Woodbine Complex, Unit 5 Woodbine St",· 0191 490 3308,http://www.yourecofuture.com/
Solar Capture Technologies,"· Photovoltaic Technology Centre, Albert St",· 01670 704508,https://www.solarcapturetechnologies.com/
Geowarmth,· 3 Neptune Ct,· 0191 257 1704,https://www.geowarmth.co.uk/
Tyne Valley Wind & Solar Ltd,· 17 The Dene,· 07742 507991,http://www.tynevalleywindandsolar.co.uk/
Expert Renewables Limited,"· The Greenhouse (Front Building, Meadowfield Industrial Estate",· 0191 429 1676,https://www.expertrenewables.co.uk/
Gener8 Power UK,· 39 Beresford Rd,· 0191 691 1814,http://gener8poweruk.com/
Passive Instal,· Kingsway N,· 0191 691 0888,https://www.passive-instal.co.uk/
Thrift Energy Ltd,· Unit 2 Ninth Ave E,· 0191 284 2424,
Priory Electrical,· 5 Chapel Ln,· 0191 251 4564,https://prioryelectrical.uk/
Evolution Energy North East Ltd,· The Stoneyard,· 07399 558436,http://www.evolutionenergynortheast.co.uk/
Flowing Energy Solutions,· 2 Monument Park,· 0191 406 2011,http://www.flowingenergysolutions.co.uk/
Effort Solar,· St Maurices Road,· 07394 658966,https://effortsolar.com/
Solar Solve,"· East Industrial Park, 7 Waldridge Way Simonside, 7 Waldridge Way",· 0191 454 8595,https://www.solasolv.com/
Eco-tilities+ renewables ltd,· 9 Castle Island Way,· 0808 196 8910,https://www.eco-tilities.co.uk/
Solar Windows & Conservatories,· 1 Potter St,· 0191 263 3655,http://solarwindowsandconservatories.co.uk/
Springwell Electrical Ltd,· 33 Oakwood Cl,· 07432 202862,https://www.springwellelectrical.co.uk/
EcoStar Renewables,Solar energy company,· 0191 743 7172,https://ecostar-renewables.co.uk/
Cosmic Energy NE LTD,· 22 Ridley Pl,· 0800 208 8082,https://cosmic-energy.co.uk/
CrowdHouse Energy™,"· Unit 1, Whitehouse Industrial Estate, Whitehouse Rd",· 0191 580 8009,https://www.che-uk.com/
Simply Solar PV Ltd.,Electric Utility Company,· 0191 548 5282,
Wessex Solar Energy,"· Barmoor Farm House, Hepscott",0345 222 5615,http://wessexsolarenergy.com/
Future Heat Ltd,· 2C Western Approach,· 0191 640 7222,http://futureheatltd.co.uk/
McIver Energy Save,Solar energy equipment supplier,0191 295 3192,
IB Energy,"· G10, Amber Court, Business Park, William Armstrong Dr",· 0191 432 7138,https://www.ibenergy.co.uk/
Duoserve Ltd ️ ️ ️ ️ ️,· 4 Admiral Way,· 0191 580 6440,http://www.duoserve.co.uk/
Solar Roof Systems Ltd,· Unit 2 swales industrial estate,· 0191 263 3655,
